Date,link
"June 27, 2023 03:08 PM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-twins-dart-up-after-parekh-says-merger-expected-to-be-complete-by-july-1-10866031.html
"June 27, 2023 03:04 PM IST",https://www.moneycontrol.com/news/business/expecting-regulatory-approval-within-a-month-for-credila-sale-parekh-10866001.html
"June 27, 2023 02:43 PM IST",https://www.moneycontrol.com/news/business/demand-for-housing-loans-will-continue-to-grow-in-the-next-4-5-years-keki-mistry-10865941.html
"June 26, 2023 11:33 AM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-life-trades-flat-after-gst-demand-notice-of-rs-942-crore-10857211.html
"June 26, 2023 11:53 AM IST",https://www.moneycontrol.com/news/business/hdfc-life-gets-rs-942-crore-gst-demand-notice-10849281.html
"June 23, 2023 10:26 AM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-sells-entire-stake-in-3-entities-shares-trade-higher-10845141.html
"June 23, 2023 06:55 AM IST",https://www.moneycontrol.com/news/business/hdfc-invests-in-bonito-design-relata-divests-entire-stake-in-ruralshores-10842851.html
"June 22, 2023 05:56 AM IST",https://www.moneycontrol.com/news/business/mergers-acquisitions/open-to-ma-opportunities-that-add-to-hdfc-credilas-capabilities-bpea-eqts-jimmy-mahtani-10835531.html
"June 20, 2023 07:40 PM IST",https://www.moneycontrol.com/news/business/cci-approves-acquisition-of-stake-by-hdfc-in-two-insurers-10828651.html
"June 20, 2023 05:04 PM IST",https://www.moneycontrol.com/news/business/hdfc-signs-definitive-pact-with-bpea-eqt-led-consortium-for-sale-of-hdfc-credila-for-rs-9060-cr-10823161.html
"June 15, 2023 11:19 AM IST",https://www.moneycontrol.com/news/business/60-mf-schemes-to-hold-rs-5000-crore-worth-hdfc-bank-shares-beyond-sebi-limit-post-merger-10799041.html
"June 14, 2023 02:31 PM IST",https://www.moneycontrol.com/news/business/mutual-funds-may-not-get-holdings-waiver-post-hdfc-bank-hdfc-merger-report-10796031.html
"June 13, 2023 02:36 PM IST",https://www.moneycontrol.com/news/business/hdfc-merger-nears-record-date-creating-worlds-5th-most-valuable-bank-10789291.html
"June 09, 2023 07:21 AM IST",https://www.moneycontrol.com/news/business/hdfc-may-tap-arvind-kapil-for-mammoth-mortgage-business-post-merger-10766841.html
"May 29, 2023 07:33 PM IST",https://www.moneycontrol.com/news/business/banks/rs-2000-notes-most-banks-insist-on-customers-filling-separate-forms-for-note-exchange-10690541.html
"May 28, 2023 11:11 AM IST",https://www.moneycontrol.com/news/business/mcap-of-7-of-top-10-most-valued-firms-jumps-rs-1-51-lakh-crore-reliance-tcs-biggest-gainers-10677821.html
"May 15, 2023 06:21 PM IST",https://www.moneycontrol.com/news/business/hdfc-to-raise-up-to-rs-8000-crore-via-bonds-10592371.html
"May 12, 2023 08:59 AM IST",https://www.moneycontrol.com/news/business/hdfc-looks-to-offload-rs-2000-crore-stressed-developer-loans-report-10571391.html
"May 07, 2023 01:45 PM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3200-prabhudas-lilladher-10536261.html
"May 07, 2023 10:57 AM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3290-motilal-oswal-10536431.html
"May 05, 2023 01:11 PM IST",https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-afternoon-80-10532621.html
"May 08, 2023 12:39 PM IST",https://www.moneycontrol.com/news/business/moneycontrol-research/hdfc-a-strong-finish-to-fy23-10533101.html
"May 05, 2023 01:48 PM IST",https://www.moneycontrol.com/news/business/markets/brokerages-see-up-to-20-upside-in-hdfc-o-a-strong-q4-show-10531711.html
"May 05, 2023 10:33 AM IST",https://www.moneycontrol.com/news/business/stocks/merged-hdfc-entity-could-see-200-million-outflow-as-msci-tweaks-adjustment-factor-10531401.html
"May 04, 2023 04:31 PM IST",https://www.moneycontrol.com/news/business/earnings/hdfc-standalone-march-2023-net-sales-at-rs-16679-43-crore-up-35-61-y-o-y-10528161.html
"May 04, 2023 04:31 PM IST",https://www.moneycontrol.com/news/business/earnings/hdfc-consolidated-march-2023-net-sales-at-rs-44633-62-crore-up-27-36-y-o-y-10528191.html
"May 04, 2023 02:56 PM IST",https://www.moneycontrol.com/news/business/earnings/hdfc-net-profit-rises-19-to-rs-4425-50-crore-in-q4-10526591.html
